DATAFLOW,FREQ,TIME_PERIOD,GEO_PICT,INDICATOR,RANGE,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_COMMENT
SPC:DF_POP_COAST(2.0),A,2010,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2011,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2012,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2013,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2014,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2015,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2016,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2017,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2018,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2019,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2020,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2021,PW,COASTALPOPRF,5KM,100,PERCENT,,E,,Percentage of coastal population based on 2015 census. GPS Houshold locations without population data + apportioned population numbers from census.
SPC:DF_POP_COAST(2.0),A,2010,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2011,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2012,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2013,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2014,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2015,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2016,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2017,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2018,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2019,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2020,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2021,TV,COASTALPOPRF,1KM,100,PERCENT,,E,,Percentage of coastal population based on 2012 census. 100% coastal.
SPC:DF_POP_COAST(2.0),A,2010,MP,COASTALPOPAF,_T,54142,N,,E,,Estimated mid-year population for year 2010.
SPC:DF_POP_COAST(2.0),A,2011,MP,COASTALPOPAF,_T,53658,N,,E,,Estimated mid-year population for year 2011.
SPC:DF_POP_COAST(2.0),A,2012,MP,COASTALPOPAF,_T,53277,N,,E,,Estimated mid-year population for year 2012.
SPC:DF_POP_COAST(2.0),A,2013,MP,COASTALPOPAF,_T,52801,N,,E,,Estimated mid-year population for year 2013.
SPC:DF_POP_COAST(2.0),A,2014,MP,COASTALPOPAF,_T,52219,N,,E,,Estimated mid-year population for year 2014.
SPC:DF_POP_COAST(2.0),A,2015,MP,COASTALPOPAF,_T,51558,N,,E,,Estimated mid-year population for year 2015.
SPC:DF_POP_COAST(2.0),A,2016,MP,COASTALPOPAF,_T,50817,N,,E,,Estimated mid-year population for year 2016.
SPC:DF_POP_COAST(2.0),A,2017,MP,COASTALPOPAF,_T,50007,N,,E,,Estimated mid-year population for year 2017.
SPC:DF_POP_COAST(2.0),A,2018,MP,COASTALPOPAF,_T,49123,N,,E,,Estimated mid-year population for year 2018.
SPC:DF_POP_COAST(2.0),A,2019,MP,COASTALPOPAF,_T,48178,N,,E,,Estimated mid-year population for year 2019.
SPC:DF_POP_COAST(2.0),A,2020,MP,COASTALPOPAF,_T,47573,N,,E,,Estimated mid-year population for year 2020.
SPC:DF_POP_COAST(2.0),A,2021,MP,COASTALPOPAF,_T,47032,N,,E,,Estimated mid-year population for year 2021.
SPC:DF_POP_COAST(2.0),A,2010,GU,COASTALPOPAF,5KM,161729,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2011,GU,COASTALPOPAF,5KM,161737,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2012,GU,COASTALPOPAF,5KM,161536,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2013,GU,COASTALPOPAF,5KM,161176,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2014,GU,COASTALPOPAF,5KM,160709,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2015,GU,COASTALPOPAF,5KM,160151,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
SPC:DF_POP_COAST(2.0),A,2016,GU,COASTALPOPAF,5KM,159495,N,,E,,Percentage of coastal population based on 2010 census. Population data from census matched to census/administrative boundaries.
