STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2005,,182560,,USD,USD,3,thousands,,,,,Converted 0.7041 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2006,,187857,,USD,USD,3,thousands,,,,,Converted 0.6485 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2007,,227926,,USD,USD,3,thousands,,,,,Converted 0.7349 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2008,,233446,,USD,USD,3,thousands,,,,,Converted 0.7029 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2009,,206455,,USD,USD,3,thousands,,,,,Converted 0.6247 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2010,,249580,,USD,USD,3,thousands,,,,,Converted 0.7205 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2011,,282418,,USD,USD,3,thousands,,,,,Converted 0.79 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2012,,302086,,USD,USD,3,thousands,,,,,Converted 0.8102 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2013,,301566,,USD,USD,3,thousands,,,,,Converted 0.8201 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2014,,315958,,USD,USD,3,thousands,,,,,Converted 0.8296 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2015,,285530,,USD,USD,3,thousands,,,,,Converted 0.6974 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2016,,287988,,USD,USD,3,thousands,,,,,Converted 0.6961 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2017,,345587,,USD,USD,3,thousands,,,,,Converted 0.7105 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2018,,391959,,USD,USD,3,thousands,,,,,Converted 0.6919 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2019,,391054,,USD,USD,3,thousands,,,,,Converted 0.6588 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2020,,267811,,USD,USD,3,thousands,,,,,Converted 0.6485 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2021,,256021,,USD,USD,3,thousands,,,,,Converted 0.7073 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2022,,289351,,USD,USD,3,thousands,,,,,Converted 0.634 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2023,,366219,,USD,USD,3,thousands,,,,,Converted 0.6141 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2005,,887,,USD_POP,USD per person,,,,,,,428426 thousands USD / 483114 persons. Converted 0.1328 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2006,,1262,,USD_POP,USD per person,,,,,,,620220 thousands USD / 491620 persons. Converted 0.1314 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2007,,1397,,USD_POP,USD per person,,,,,,,698791 thousands USD / 500177 persons. Converted 0.1307 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2008,,1534,,USD_POP,USD per person,,,,,,,780352 thousands USD / 508820 persons. Converted 0.1291 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2009,,1562,,USD_POP,USD per person,,,,,,,809219 thousands USD / 518166 persons. Converted 0.1241 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2010,,1693,,USD_POP,USD per person,,,,,,,902543 thousands USD / 532996 persons. Converted 0.124 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2011,,1934,,USD_POP,USD per person,,,,,,,1069387 thousands USD / 552977 persons. Converted 0.1309 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2012,,2067,,USD_POP,USD per person,,,,,,,1185716 thousands USD / 573625 persons. Converted 0.136 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2013,,2161,,USD_POP,USD per person,,,,,,,1285477 thousands USD / 594972 persons. Converted 0.1369 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2014,,2165,,USD_POP,USD per person,,,,,,,1335701 thousands USD / 616925 persons. Converted 0.1356 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2015,,2045,,USD_POP,USD per person,,,,,,,1307420 thousands USD / 639437 persons. Converted 0.1263 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2016,,2082,,USD_POP,USD per person,,,,,,,1379322 thousands USD / 662402 persons. Converted 0.1258 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2017,,2144,,USD_POP,USD per person,,,,,,,1469967 thousands USD / 685698 persons. Converted 0.1268 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2018,,2277,,USD_POP,USD per person,,,,,,,1614880 thousands USD / 709126 persons. Converted 0.1257 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2019,,222,,USD_POP,USD per person,,,,,,,161852 thousands USD / 728169 persons. Converted 0.1223 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2020,,206,,USD_POP,USD per person,,,,,,,153675 thousands USD / 744514 persons. Converted 0.1218 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2021,,1996,,USD_POP,USD per person,,,,,,,1522416 thousands USD / 762616 persons. Converted 0.1245 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCPC,"Gross Domestic Product per capita, current prices",2022,,2005,,USD_POP,USD per person,,,,,,,1566155 thousands USD / 781093 persons. Converted 0.1226 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2005,,4327318,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2006,,4544971,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2007,,4648600,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2008,,4730600,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2009,,4786000,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2010,,5051000,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2011,,5738800,,FJD,Fiji Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FJ,Fiji,GDPC,"Gross Domestic Product, current prices",2012,,6000000,,FJD,Fiji Dollar,3,thousands,,,,,,
